"train_start","train_end","test_start","test_end","model_name","params","metric","threshold","metric_value"
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","accuracy",5,0.7306690705128205
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","precision",5,0.44589178356713427
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","recall",5,0.08444022770398482
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","f1",5,0.14199106573069561
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","roc_auc",5,0.6662579594275435
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","accuracy",10,0.7251602564102564
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","precision",10,0.4453907815631262
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","recall",10,0.16869070208728654
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","f1",10,0.24470134874759153
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","roc_auc",10,0.6662579594275435
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","accuracy",20,0.7034755608974359
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","precision",20,0.4184823441021788
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","recall",20,0.3170777988614801
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","f1",20,0.36079024074273996
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","roc_auc",20,0.6662579594275435
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","accuracy",30,0.6786858974358975
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","precision",30,0.40434056761268783
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","recall",30,0.45958254269449716
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","f1",30,0.4301953818827709
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","roc_auc",30,0.6662579594275435
